,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
1311,36,admin.,married,secondary,no,0,yes,yes,cellular,11,94,1,-1,0,unknown,no
1312,45,blue-collar,married,primary,no,0,no,no,cellular,26,454,2,-1,0,unknown,no
1313,43,management,married,tertiary,no,479,yes,no,cellular,6,168,1,254,2,failure,no
1314,52,housemaid,married,secondary,no,3923,yes,no,cellular,20,20,8,190,3,success,no
1315,62,retired,married,secondary,no,3,no,no,cellular,4,151,1,-1,0,unknown,no
1316,45,services,married,secondary,no,462,yes,no,cellular,11,65,2,-1,0,unknown,no
1317,36,admin.,divorced,secondary,no,1573,yes,no,unknown,20,17,10,-1,0,unknown,no
1318,58,blue-collar,married,secondary,no,221,yes,no,cellular,17,115,2,343,2,failure,no
1319,50,management,single,tertiary,no,6030,yes,no,cellular,31,198,3,-1,0,unknown,no
1320,36,blue-collar,married,unknown,no,722,yes,no,unknown,20,268,2,-1,0,unknown,no
1321,44,blue-collar,married,secondary,no,3348,no,yes,cellular,24,504,2,-1,0,unknown,no
1322,46,services,married,primary,no,599,no,no,cellular,22,257,2,-1,0,unknown,no
1323,31,services,single,primary,no,181,yes,no,cellular,20,93,3,340,2,other,no
1324,48,management,married,secondary,no,438,no,no,cellular,4,42,5,-1,0,unknown,no
1325,38,management,married,tertiary,no,7124,no,no,unknown,16,301,6,-1,0,unknown,no
1326,53,entrepreneur,married,tertiary,no,54,yes,yes,cellular,6,123,1,169,1,failure,no
1327,37,technician,married,secondary,no,95,no,no,cellular,6,454,3,-1,0,unknown,no
1328,32,management,married,tertiary,no,3696,no,no,unknown,21,315,3,-1,0,unknown,no
1329,42,admin.,single,secondary,no,1601,no,no,unknown,20,23,2,-1,0,unknown,no
1330,34,admin.,married,tertiary,no,1,yes,no,cellular,17,54,3,-1,0,unknown,no
1331,28,admin.,married,secondary,no,6429,yes,yes,unknown,27,345,2,-1,0,unknown,no
1332,44,blue-collar,married,secondary,no,2455,yes,no,telephone,18,18,1,-1,0,unknown,no
1333,44,technician,married,tertiary,no,1818,yes,yes,cellular,30,247,1,-1,0,unknown,no
1334,36,admin.,married,secondary,no,2278,yes,no,cellular,15,200,3,298,1,failure,no
1335,34,admin.,married,secondary,no,3814,yes,no,cellular,11,286,2,-1,0,unknown,no
1336,41,technician,married,secondary,no,2039,no,no,cellular,25,160,4,-1,0,unknown,no
1337,57,technician,married,secondary,no,323,yes,no,telephone,9,54,1,-1,0,unknown,no
1338,48,technician,married,tertiary,no,58,yes,no,cellular,12,110,2,-1,0,unknown,no
1339,47,unemployed,married,tertiary,no,1725,yes,yes,cellular,30,183,2,-1,0,unknown,no
1340,33,management,single,tertiary,no,48,yes,no,cellular,11,400,1,173,5,failure,no
1341,36,technician,married,secondary,no,24,yes,no,cellular,18,59,1,-1,0,unknown,no
1342,50,housemaid,divorced,primary,no,34,yes,no,cellular,22,160,2,-1,0,unknown,no
1343,56,management,married,tertiary,no,67,no,yes,cellular,29,88,2,-1,0,unknown,no
1344,48,blue-collar,married,primary,no,-254,yes,no,cellular,7,210,2,346,1,other,no
1345,50,management,married,secondary,no,0,yes,no,unknown,14,94,4,-1,0,unknown,no
1346,40,management,single,secondary,no,269,no,no,unknown,5,128,1,-1,0,unknown,no
1347,30,technician,single,tertiary,no,60,yes,yes,unknown,7,306,5,-1,0,unknown,no
1348,59,blue-collar,married,primary,no,63,no,no,cellular,22,176,6,-1,0,unknown,no
1349,44,management,married,tertiary,no,2400,yes,no,unknown,15,74,1,-1,0,unknown,no
1350,57,entrepreneur,married,secondary,no,2464,no,no,cellular,1,113,1,-1,0,unknown,no
1351,33,technician,single,secondary,no,31,no,yes,cellular,25,131,3,-1,0,unknown,no
1352,39,admin.,divorced,secondary,no,7,yes,no,cellular,2,550,1,-1,0,unknown,no
1353,57,retired,married,primary,no,4908,no,no,cellular,30,868,1,-1,0,unknown,no
1354,33,management,married,tertiary,no,641,yes,no,cellular,13,347,2,-1,0,unknown,no
1355,36,entrepreneur,married,primary,no,177,yes,no,unknown,12,63,5,-1,0,unknown,no
1356,49,admin.,divorced,secondary,no,2169,yes,no,unknown,30,54,3,-1,0,unknown,no
1357,43,services,single,secondary,no,37,yes,no,cellular,7,329,2,-1,0,unknown,no
1358,41,services,married,primary,no,373,yes,no,unknown,30,240,2,-1,0,unknown,no
1359,54,management,married,tertiary,no,2819,no,no,cellular,7,123,3,-1,0,unknown,no
1360,47,retired,married,primary,no,197,no,no,unknown,18,57,2,-1,0,unknown,no
1361,34,blue-collar,single,tertiary,no,42,no,no,cellular,5,297,1,-1,0,unknown,no
1362,53,unknown,married,unknown,no,549,no,no,telephone,28,74,2,-1,0,unknown,no
1363,55,technician,married,secondary,no,0,yes,yes,cellular,1,106,1,91,1,success,no
1364,51,management,divorced,tertiary,no,2011,yes,no,cellular,20,118,3,-1,0,unknown,no
1365,44,blue-collar,married,primary,no,3057,yes,no,unknown,26,98,4,-1,0,unknown,no
1366,23,services,single,secondary,no,-229,yes,yes,cellular,18,557,1,-1,0,unknown,no
1367,54,admin.,married,secondary,no,9,no,yes,unknown,1,140,1,-1,0,unknown,no
1368,32,admin.,single,tertiary,no,3816,yes,no,cellular,21,53,3,-1,0,unknown,no
1369,35,unemployed,single,tertiary,no,4959,no,no,cellular,29,91,2,-1,0,unknown,no
1370,43,management,married,tertiary,no,228,no,no,cellular,28,47,18,-1,0,unknown,no
1371,54,entrepreneur,married,tertiary,no,11464,no,no,unknown,5,222,1,-1,0,unknown,no
1372,27,self-employed,single,tertiary,no,451,no,no,cellular,4,112,4,-1,0,unknown,no
1373,29,management,single,tertiary,no,0,yes,no,unknown,5,363,1,-1,0,unknown,no
1374,37,blue-collar,married,primary,no,543,yes,no,unknown,21,281,1,-1,0,unknown,no
1375,40,retired,single,secondary,no,1734,yes,no,unknown,3,123,4,-1,0,unknown,no
1376,26,student,single,tertiary,no,97,no,no,cellular,27,382,1,-1,0,unknown,no
1377,32,management,single,tertiary,no,0,no,no,cellular,7,98,1,159,1,other,no
1378,20,services,single,secondary,no,-103,yes,no,unknown,13,180,1,-1,0,unknown,no
1379,60,retired,married,secondary,no,2537,yes,yes,unknown,15,230,1,-1,0,unknown,no
1380,49,unknown,married,secondary,no,0,no,no,cellular,28,173,2,-1,0,unknown,no
1381,33,management,married,tertiary,no,184,no,no,cellular,5,113,1,-1,0,unknown,no
1382,40,management,married,tertiary,no,-130,yes,no,unknown,28,154,2,-1,0,unknown,no
1383,47,entrepreneur,married,tertiary,no,0,yes,no,cellular,13,213,1,-1,0,unknown,no
1384,32,management,married,tertiary,no,937,no,no,cellular,28,90,1,94,2,failure,no
1385,39,technician,married,secondary,no,4741,yes,no,cellular,13,166,1,338,10,failure,no
1386,50,admin.,married,secondary,no,1917,yes,no,unknown,14,200,2,-1,0,unknown,no
1387,28,technician,single,secondary,no,389,yes,no,cellular,11,15,7,-1,0,unknown,no
1388,44,admin.,married,secondary,no,1423,yes,no,unknown,13,162,4,-1,0,unknown,no
1389,38,technician,married,secondary,no,0,no,no,cellular,26,65,4,-1,0,unknown,no
1390,22,housemaid,single,secondary,no,650,yes,no,unknown,12,181,4,-1,0,unknown,no
1391,52,technician,married,secondary,no,64,no,no,telephone,29,20,2,-1,0,unknown,no
1392,44,admin.,married,secondary,no,132,no,no,cellular,21,103,5,124,4,success,no
1393,43,management,married,tertiary,no,11754,no,no,cellular,7,352,2,-1,0,unknown,no
1394,25,management,single,tertiary,no,553,yes,no,cellular,17,113,4,479,1,failure,no
1395,29,management,single,tertiary,no,15459,no,no,cellular,26,245,3,97,7,success,no
1396,45,unknown,married,unknown,no,4413,no,no,telephone,29,77,35,-1,0,unknown,no
1397,37,blue-collar,married,primary,no,20,no,yes,telephone,15,469,4,-1,0,unknown,no
1398,34,blue-collar,married,secondary,no,332,no,no,cellular,14,134,2,-1,0,unknown,no
1399,40,technician,divorced,secondary,no,0,no,no,cellular,19,60,2,-1,0,unknown,no
1400,33,technician,married,tertiary,no,0,yes,yes,cellular,28,94,6,-1,0,unknown,no
1401,32,technician,single,secondary,no,-569,yes,no,cellular,6,107,1,-1,0,unknown,no
1402,33,management,single,secondary,no,-298,no,no,cellular,22,168,2,-1,0,unknown,no
1403,45,management,married,primary,no,2690,no,no,telephone,29,145,4,-1,0,unknown,no
1404,44,management,single,tertiary,no,-1313,yes,yes,cellular,15,104,10,-1,0,unknown,no
1405,70,retired,married,primary,no,4982,no,no,cellular,4,794,2,-1,0,unknown,no
1406,39,management,married,secondary,no,363,yes,yes,cellular,17,184,1,-1,0,unknown,no
1407,43,management,single,tertiary,no,47,yes,no,cellular,7,316,5,-1,0,unknown,no
1408,32,blue-collar,single,secondary,no,70,yes,no,unknown,26,118,6,-1,0,unknown,no
1409,33,management,single,tertiary,no,0,no,no,cellular,28,236,10,-1,0,unknown,no
1410,46,technician,married,secondary,no,2045,yes,no,cellular,21,281,2,-1,0,unknown,no
1411,39,services,married,secondary,no,0,yes,no,unknown,5,620,2,-1,0,unknown,no
1412,47,services,divorced,secondary,no,201,yes,no,unknown,6,92,2,-1,0,unknown,no
1413,40,technician,married,secondary,no,265,no,no,unknown,18,1365,4,-1,0,unknown,no
1414,48,unemployed,married,primary,no,0,no,no,cellular,29,569,2,-1,0,unknown,no
1415,50,blue-collar,married,primary,no,1164,yes,no,unknown,8,166,2,-1,0,unknown,no
1416,53,technician,divorced,secondary,no,392,yes,no,cellular,28,70,1,245,1,failure,no
1417,48,technician,married,secondary,no,427,no,no,unknown,14,201,1,-1,0,unknown,no
1418,37,admin.,single,secondary,no,569,yes,yes,unknown,6,126,2,-1,0,unknown,no
1419,45,admin.,married,secondary,no,369,yes,no,cellular,15,20,5,-1,0,unknown,no
1420,37,management,married,tertiary,no,0,no,no,cellular,24,187,2,-1,0,unknown,no
1421,38,admin.,married,tertiary,no,342,yes,no,unknown,4,1138,1,-1,0,unknown,no
1422,27,blue-collar,single,primary,no,5,yes,no,cellular,18,182,1,-1,0,unknown,no
1423,31,admin.,single,secondary,no,-449,yes,no,unknown,28,81,2,-1,0,unknown,no
1424,54,blue-collar,divorced,secondary,no,218,no,no,unknown,6,514,2,-1,0,unknown,no
1425,56,retired,married,secondary,no,0,no,no,cellular,2,71,3,-1,0,unknown,no
1426,49,technician,married,secondary,no,6050,yes,no,unknown,14,229,2,-1,0,unknown,no
1427,47,technician,single,tertiary,no,31,no,yes,cellular,24,63,4,-1,0,unknown,no
1428,31,management,single,tertiary,no,47,no,no,cellular,22,361,4,-1,0,unknown,no
1429,38,technician,married,secondary,no,258,no,no,cellular,27,181,4,-1,0,unknown,no
1430,51,services,married,secondary,no,325,yes,no,unknown,20,123,4,-1,0,unknown,no
1431,43,management,single,secondary,no,-228,yes,yes,unknown,16,122,2,-1,0,unknown,no
1432,35,admin.,single,secondary,no,1070,no,no,cellular,20,251,2,-1,0,unknown,no
1433,48,management,married,tertiary,yes,0,no,yes,cellular,9,18,8,-1,0,unknown,no
1434,31,technician,married,secondary,no,4,no,no,unknown,20,199,4,-1,0,unknown,no
1435,26,technician,single,secondary,no,3244,no,no,cellular,2,141,1,5,1,failure,no
1436,52,unknown,married,unknown,no,1317,no,no,unknown,12,58,1,-1,0,unknown,no
1437,54,admin.,married,secondary,no,0,yes,no,cellular,29,46,1,-1,0,unknown,no
1438,30,blue-collar,married,primary,no,124,yes,no,unknown,15,126,4,-1,0,unknown,no
1439,39,technician,married,tertiary,no,794,no,no,telephone,2,182,1,-1,0,unknown,no
1440,56,blue-collar,divorced,secondary,no,934,no,no,cellular,29,375,2,-1,0,unknown,no
1441,46,blue-collar,divorced,primary,yes,-17,no,yes,cellular,4,81,2,-1,0,unknown,no
1442,39,blue-collar,married,primary,no,385,yes,no,unknown,16,225,4,-1,0,unknown,no
1443,46,management,married,secondary,yes,-333,no,yes,cellular,30,597,2,-1,0,unknown,no
1444,33,services,married,secondary,no,0,no,no,cellular,9,128,1,-1,0,unknown,no
1445,57,technician,married,tertiary,no,4043,yes,no,cellular,7,122,4,-1,0,unknown,no
1446,30,management,married,tertiary,no,527,yes,yes,unknown,21,265,1,-1,0,unknown,no
1447,23,student,married,tertiary,yes,-230,yes,no,cellular,18,259,2,-1,0,unknown,no
1448,51,blue-collar,married,secondary,no,-237,yes,yes,cellular,20,379,3,320,2,other,no
1449,46,blue-collar,single,secondary,no,0,yes,no,cellular,8,120,2,-1,0,unknown,no
1450,35,technician,married,secondary,no,1577,yes,yes,cellular,17,80,1,273,1,failure,no
1451,38,unemployed,married,secondary,no,0,no,no,cellular,24,168,2,-1,0,unknown,no
1452,41,technician,married,secondary,no,442,yes,yes,cellular,17,261,3,322,1,other,no
1453,56,retired,married,tertiary,no,142,no,yes,cellular,14,329,5,-1,0,unknown,no
1454,40,management,married,tertiary,no,-65,no,yes,cellular,21,65,2,-1,0,unknown,no
1455,30,blue-collar,married,secondary,no,125,yes,no,unknown,29,238,2,-1,0,unknown,no
1456,38,entrepreneur,married,secondary,no,2139,yes,no,unknown,9,576,1,-1,0,unknown,no
1457,54,blue-collar,married,secondary,no,143,yes,no,cellular,12,278,2,309,5,failure,no
1458,32,services,single,secondary,no,875,yes,no,cellular,21,1015,2,-1,0,unknown,no
1459,44,blue-collar,married,unknown,no,391,no,no,unknown,6,355,4,-1,0,unknown,no
1460,42,blue-collar,married,primary,no,2519,yes,no,unknown,15,262,4,-1,0,unknown,no
1461,32,blue-collar,divorced,secondary,no,880,yes,yes,unknown,4,112,1,-1,0,unknown,no
1462,32,management,single,tertiary,no,0,yes,no,unknown,15,86,4,-1,0,unknown,no
1463,32,blue-collar,married,secondary,no,822,yes,no,cellular,14,19,8,366,6,failure,no
1464,34,management,single,tertiary,no,618,yes,no,unknown,3,119,4,-1,0,unknown,no
1465,57,blue-collar,married,primary,no,60,no,no,unknown,5,90,1,-1,0,unknown,no
1466,28,blue-collar,single,primary,no,348,yes,yes,unknown,14,305,3,-1,0,unknown,no
1467,28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,406,1,317,1,failure,no
1468,51,retired,married,secondary,no,35,no,yes,cellular,8,123,4,-1,0,unknown,no
1469,37,blue-collar,married,secondary,no,2697,yes,no,cellular,20,430,1,-1,0,unknown,no
1470,44,blue-collar,married,secondary,no,2017,yes,no,unknown,14,74,3,-1,0,unknown,no
1471,39,management,divorced,tertiary,no,2193,yes,yes,unknown,2,550,3,-1,0,unknown,no
1472,29,blue-collar,single,secondary,no,80,yes,yes,unknown,2,281,4,-1,0,unknown,no
1473,44,self-employed,divorced,secondary,no,522,yes,no,cellular,8,241,1,-1,0,unknown,no
1474,44,entrepreneur,married,tertiary,no,31,no,no,unknown,9,467,1,-1,0,unknown,no
1475,42,management,married,tertiary,no,1205,no,no,telephone,15,129,1,188,2,success,no
1476,28,blue-collar,married,secondary,no,4,yes,no,cellular,15,310,1,-1,0,unknown,no
1477,51,blue-collar,married,primary,no,-26,yes,no,unknown,27,47,1,-1,0,unknown,no
1478,32,technician,single,tertiary,no,392,yes,no,cellular,1,957,2,131,2,failure,no
1479,31,entrepreneur,married,tertiary,no,-231,yes,no,cellular,26,221,2,-1,0,unknown,no
1480,59,retired,married,primary,no,1064,yes,no,cellular,6,88,2,-1,0,unknown,no
1481,34,blue-collar,single,secondary,no,186,no,no,cellular,2,342,1,-1,0,unknown,no
1482,60,retired,married,secondary,no,-1110,yes,no,unknown,6,143,2,-1,0,unknown,no
1483,60,management,divorced,secondary,no,151,no,no,cellular,6,160,4,-1,0,unknown,no
1484,47,management,married,unknown,no,4567,no,no,telephone,31,921,4,-1,0,unknown,no
1485,46,technician,divorced,tertiary,no,-243,no,yes,cellular,18,251,5,-1,0,unknown,no
1486,29,management,married,secondary,no,160,no,no,cellular,9,844,2,-1,0,unknown,no
1487,31,blue-collar,married,secondary,no,864,yes,yes,cellular,13,127,1,-1,0,unknown,no
1488,29,admin.,single,secondary,no,854,no,no,cellular,20,175,5,95,1,other,no
1489,47,blue-collar,single,unknown,no,2443,no,no,unknown,18,422,1,-1,0,unknown,no
1490,51,services,married,secondary,no,-467,no,no,unknown,9,216,5,-1,0,unknown,no
1491,32,admin.,single,secondary,no,8626,no,no,cellular,7,200,1,196,2,failure,no
1492,31,blue-collar,single,secondary,no,-64,no,no,cellular,21,37,1,-1,0,unknown,no
1493,36,blue-collar,married,primary,no,156,yes,no,cellular,21,219,2,-1,0,unknown,no
1494,58,services,married,secondary,no,627,no,no,cellular,13,110,4,-1,0,unknown,no
1495,52,blue-collar,divorced,primary,yes,-183,yes,no,unknown,6,145,1,-1,0,unknown,no
1496,35,blue-collar,married,secondary,no,911,yes,no,cellular,20,434,2,181,5,other,no
1497,37,technician,married,secondary,no,952,yes,no,cellular,16,536,1,-1,0,unknown,no
1498,30,self-employed,single,tertiary,no,-174,no,no,cellular,20,80,1,-1,0,unknown,no
1499,32,unemployed,divorced,secondary,no,527,no,no,cellular,28,38,1,-1,0,unknown,no
1500,37,entrepreneur,married,primary,no,-204,yes,no,cellular,24,467,1,-1,0,unknown,no
1501,53,unemployed,married,secondary,no,76,yes,yes,unknown,16,283,1,-1,0,unknown,no
1502,56,admin.,divorced,secondary,no,279,yes,no,cellular,11,288,2,-1,0,unknown,no
1503,45,blue-collar,married,primary,no,2348,yes,no,cellular,17,492,1,148,1,other,no
1504,42,management,divorced,tertiary,no,0,no,no,cellular,17,116,1,-1,0,unknown,no
1505,46,technician,married,secondary,no,363,yes,no,cellular,6,209,3,-1,0,unknown,no
1506,25,management,single,tertiary,no,2305,no,no,cellular,30,193,1,86,1,failure,no
1507,47,blue-collar,married,primary,no,117,yes,no,unknown,7,113,2,-1,0,unknown,no
1508,42,technician,single,unknown,no,2193,no,no,cellular,29,305,2,-1,0,unknown,no
1509,37,blue-collar,married,primary,no,3977,yes,no,cellular,17,264,1,-1,0,unknown,no
1510,25,self-employed,married,tertiary,no,1182,yes,no,unknown,26,141,2,-1,0,unknown,no
1511,32,management,single,tertiary,no,914,yes,no,cellular,20,224,1,-1,0,unknown,no
1512,43,blue-collar,married,primary,no,887,yes,no,unknown,14,211,1,-1,0,unknown,no
1513,36,technician,married,tertiary,no,606,yes,no,unknown,4,159,1,-1,0,unknown,no
1514,22,blue-collar,single,primary,no,3198,yes,no,unknown,28,109,2,-1,0,unknown,no
1515,58,services,married,secondary,no,50,yes,no,cellular,20,161,7,-1,0,unknown,no
1516,56,blue-collar,divorced,primary,no,0,no,no,unknown,20,134,10,-1,0,unknown,no
1517,30,admin.,married,secondary,no,482,no,no,cellular,23,86,1,-1,0,unknown,no
1518,41,self-employed,married,secondary,no,0,no,no,cellular,8,197,2,-1,0,unknown,no
1519,46,technician,married,secondary,no,167,no,no,cellular,19,155,3,-1,0,unknown,no
1520,56,technician,married,unknown,no,689,no,no,cellular,31,232,2,-1,0,unknown,no
1521,30,admin.,single,secondary,no,2702,yes,no,cellular,24,129,2,-1,0,unknown,no
1522,45,management,married,secondary,no,0,no,no,unknown,5,65,2,-1,0,unknown,no
1523,55,services,married,unknown,no,715,yes,no,telephone,30,90,2,-1,0,unknown,no
1524,32,technician,single,secondary,no,930,yes,no,unknown,21,122,1,-1,0,unknown,no
1525,26,technician,single,tertiary,no,2781,yes,no,cellular,30,132,1,-1,0,unknown,no
1526,37,blue-collar,married,primary,no,2079,yes,yes,cellular,14,299,1,360,2,failure,no
1527,32,admin.,married,secondary,no,552,yes,no,cellular,6,98,2,-1,0,unknown,no
1528,34,services,married,secondary,no,457,yes,no,unknown,30,67,2,-1,0,unknown,no
1529,48,blue-collar,married,primary,no,199,no,no,telephone,18,29,2,-1,0,unknown,no
1530,55,housemaid,married,primary,no,4,no,no,cellular,21,85,3,-1,0,unknown,no
1531,34,management,divorced,tertiary,no,582,no,no,cellular,20,209,3,-1,0,unknown,no
1532,32,admin.,single,secondary,no,626,yes,no,cellular,7,324,2,351,1,failure,no
1533,33,blue-collar,single,secondary,no,5137,yes,no,cellular,6,123,1,-1,0,unknown,no
1534,30,technician,married,secondary,no,4733,yes,no,unknown,21,81,2,-1,0,unknown,no
1535,32,technician,married,secondary,no,2693,yes,no,unknown,21,16,1,-1,0,unknown,no
1536,47,management,married,tertiary,no,1493,no,no,cellular,31,89,5,-1,0,unknown,no
1537,47,blue-collar,married,secondary,no,3237,yes,no,unknown,15,198,3,-1,0,unknown,no
1538,37,admin.,married,secondary,no,3226,yes,yes,cellular,24,226,3,-1,0,unknown,no
1539,41,blue-collar,single,secondary,no,925,yes,no,telephone,13,43,1,-1,0,unknown,no
1540,39,services,married,secondary,no,702,yes,no,cellular,8,303,1,300,1,failure,no
1541,35,management,married,tertiary,no,38,no,no,cellular,26,194,8,-1,0,unknown,no
1542,55,management,married,tertiary,no,913,no,no,unknown,17,462,5,-1,0,unknown,no
1543,40,technician,single,tertiary,no,539,no,no,cellular,14,121,2,-1,0,unknown,no
1544,39,self-employed,married,primary,no,2077,yes,no,cellular,31,88,21,-1,0,unknown,no
1545,36,housemaid,married,primary,no,191,yes,no,unknown,3,132,1,-1,0,unknown,no
1546,26,admin.,single,secondary,no,338,no,no,cellular,29,245,1,92,3,success,no
1547,36,services,divorced,secondary,no,127,no,no,cellular,18,172,3,-1,0,unknown,no
1548,56,blue-collar,married,primary,no,547,no,no,unknown,9,84,1,-1,0,unknown,no
1549,45,blue-collar,divorced,secondary,no,756,yes,no,unknown,6,179,2,-1,0,unknown,no
1550,51,admin.,divorced,tertiary,no,178,yes,no,cellular,4,184,2,-1,0,unknown,no
1551,25,technician,single,secondary,no,0,yes,no,cellular,23,487,5,-1,0,unknown,no
1552,23,blue-collar,married,primary,no,1158,yes,no,cellular,16,743,1,-1,0,unknown,no
1553,44,blue-collar,married,primary,no,1432,yes,yes,unknown,27,63,9,-1,0,unknown,no
1554,35,technician,married,tertiary,no,629,yes,yes,cellular,27,77,1,-1,0,unknown,no
1555,31,technician,married,secondary,no,510,yes,no,unknown,21,117,3,-1,0,unknown,no
1556,55,blue-collar,married,primary,no,7303,yes,no,cellular,7,166,3,-1,0,unknown,no
1557,37,unemployed,married,tertiary,no,1851,no,no,cellular,30,166,1,-1,0,unknown,no
1558,29,technician,single,secondary,no,205,yes,no,cellular,17,218,1,340,3,failure,no
1559,42,technician,divorced,secondary,no,3043,yes,yes,unknown,30,224,5,-1,0,unknown,no
1560,34,technician,married,secondary,no,1,no,yes,unknown,25,53,1,-1,0,unknown,no
1561,43,technician,married,secondary,no,308,yes,no,cellular,3,137,3,264,4,other,no
1562,29,technician,married,tertiary,no,676,no,no,cellular,9,93,2,224,4,failure,no
1563,31,blue-collar,married,secondary,no,186,yes,no,unknown,8,257,3,-1,0,unknown,no
1564,32,blue-collar,married,primary,no,39,yes,no,cellular,7,128,1,-1,0,unknown,no
1565,39,technician,married,secondary,no,2266,no,no,cellular,22,86,1,93,4,success,no
1566,44,admin.,married,secondary,no,238,yes,yes,unknown,2,306,4,-1,0,unknown,no
1567,50,management,single,tertiary,no,486,no,yes,unknown,11,28,1,-1,0,unknown,no
1568,56,blue-collar,single,secondary,no,1187,yes,no,cellular,5,47,2,-1,0,unknown,no
1569,26,technician,single,tertiary,no,1972,yes,no,cellular,29,221,2,-1,0,unknown,no
1570,49,blue-collar,married,secondary,no,1860,no,no,cellular,25,150,3,-1,0,unknown,no
1571,42,management,divorced,secondary,no,284,no,no,cellular,25,1173,4,-1,0,unknown,no
1572,22,student,single,secondary,no,10971,no,no,cellular,28,181,2,-1,0,unknown,no
1573,31,management,divorced,tertiary,no,297,no,no,cellular,12,127,1,-1,0,unknown,no
1574,48,self-employed,married,tertiary,no,929,no,no,cellular,29,223,1,-1,0,unknown,no
1575,33,management,single,tertiary,no,71,no,no,cellular,22,107,6,-1,0,unknown,no
1576,35,technician,single,tertiary,no,2012,yes,no,unknown,20,413,2,-1,0,unknown,no
1577,47,technician,divorced,secondary,no,691,no,no,cellular,14,103,2,-1,0,unknown,no
1578,45,management,divorced,tertiary,yes,-946,yes,no,cellular,13,213,1,-1,0,unknown,no
1579,41,admin.,divorced,secondary,no,762,yes,no,unknown,6,319,4,-1,0,unknown,no
1580,71,retired,married,secondary,no,1998,no,no,cellular,23,201,1,-1,0,unknown,no
1581,37,blue-collar,married,primary,no,7,no,no,unknown,6,176,1,-1,0,unknown,no
1582,35,blue-collar,single,primary,no,109,yes,no,unknown,7,83,2,-1,0,unknown,no
1583,45,blue-collar,married,unknown,no,0,no,no,cellular,4,408,1,-1,0,unknown,no
1584,52,housemaid,married,primary,no,994,no,no,cellular,17,188,3,-1,0,unknown,no
1585,29,blue-collar,married,primary,no,111,yes,no,cellular,6,14,11,-1,0,unknown,no
1586,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,291,1,-1,0,unknown,no
1587,56,housemaid,married,primary,no,445,no,no,cellular,21,13,6,-1,0,unknown,no
1588,30,student,single,secondary,no,5836,no,no,cellular,27,165,2,-1,0,unknown,no
1589,57,management,married,tertiary,no,-22,yes,no,unknown,28,463,1,-1,0,unknown,no
1590,30,self-employed,single,tertiary,no,2593,no,no,unknown,27,662,7,-1,0,unknown,no
1591,39,management,married,tertiary,no,947,no,no,cellular,8,124,2,-1,0,unknown,no
1592,29,management,married,tertiary,no,16,yes,no,cellular,16,605,6,-1,0,unknown,no
1593,51,management,married,unknown,no,721,no,no,unknown,16,276,3,-1,0,unknown,no
1594,45,blue-collar,divorced,primary,no,102,yes,no,cellular,11,282,1,-1,0,unknown,no
1595,45,management,married,tertiary,no,4112,no,no,cellular,18,140,13,-1,0,unknown,no
1596,50,blue-collar,married,secondary,no,3988,no,no,unknown,30,165,4,-1,0,unknown,no
1597,34,technician,single,secondary,no,475,yes,no,cellular,29,538,8,-1,0,unknown,no
1598,39,blue-collar,married,secondary,no,0,yes,no,unknown,6,262,1,-1,0,unknown,no
1599,36,housemaid,married,primary,no,4324,yes,no,cellular,14,565,4,-1,0,unknown,no
1600,42,technician,single,tertiary,no,24,no,no,cellular,8,262,1,-1,0,unknown,no
1601,49,unemployed,married,secondary,no,207,no,no,telephone,4,181,2,-1,0,unknown,no
1602,45,technician,married,secondary,no,3241,no,no,cellular,12,84,2,-1,0,unknown,no
1603,29,blue-collar,married,secondary,no,321,yes,yes,cellular,2,102,2,-1,0,unknown,no
1604,44,unknown,single,unknown,no,1239,no,no,unknown,20,39,4,-1,0,unknown,no
1605,41,entrepreneur,married,primary,no,759,yes,no,unknown,4,79,10,-1,0,unknown,no
1606,42,technician,single,secondary,no,49,no,no,cellular,9,7,10,-1,0,unknown,no
1607,35,technician,married,tertiary,no,8029,yes,no,cellular,26,167,1,285,4,success,no
1608,43,technician,single,tertiary,no,58,no,no,cellular,22,97,2,-1,0,unknown,no
1609,40,management,married,tertiary,no,193,no,no,cellular,18,105,6,-1,0,unknown,no
1610,37,management,married,secondary,no,10,no,yes,cellular,2,164,1,250,2,failure,no
1611,28,blue-collar,single,secondary,no,2845,yes,no,unknown,12,182,2,-1,0,unknown,no
1612,40,housemaid,married,secondary,no,1783,yes,yes,cellular,19,130,1,-1,0,unknown,no
1613,35,entrepreneur,single,secondary,no,12961,yes,no,unknown,21,272,2,-1,0,unknown,no
1614,33,management,single,tertiary,no,23,no,no,cellular,20,216,3,-1,0,unknown,no
1615,48,services,married,secondary,no,7434,no,no,unknown,17,986,1,-1,0,unknown,no
1616,45,services,single,secondary,no,-688,no,yes,cellular,8,106,1,-1,0,unknown,no
1617,50,technician,married,secondary,no,389,yes,no,unknown,8,110,1,-1,0,unknown,no
1618,62,retired,married,secondary,no,495,no,yes,telephone,9,494,2,-1,0,unknown,no
1619,52,technician,married,secondary,no,930,yes,no,unknown,2,94,16,-1,0,unknown,no
1620,41,technician,divorced,tertiary,no,24055,no,yes,unknown,20,132,1,-1,0,unknown,no
